#YY_#yr,MM_mo,DD_dy,hh_hr,mm_mn,WDIR_degT,WSPD_m/s,GST_m/s,WVHT_m,DPD_sec,APD_sec,MWD_degT,PRES_hPa,ATMP_degC,WTMP_degC,DEWP_degC,VIS_nmi,TIDE_ft
2007,1,9,19,0,286,7.0,9.2,0.0,0.0,0.0,,1003.2,4.4,6.6,-8.2,,
2007,1,9,20,0,271,6.2,9.0,0.0,0.0,0.0,,1003.5,5.0,6.4,-8.4,,
2007,1,9,21,0,273,3.5,5.4,0.0,0.0,0.0,,1004.5,4.4,6.4,-8.0,,
2007,1,9,22,0,240,2.1,3.2,0.0,0.0,0.0,,1004.9,3.9,5.9,-6.6,,
2007,1,9,23,0,188,1.2,1.4,0.0,0.0,0.0,,1005.7,2.9,6.4,-6.4,,
2007,1,10,0,0,210,1.6,3.0,0.0,0.0,0.0,,1006.3,2.7,6.3,-5.3,,
2007,1,10,1,0,215,2.3,3.9,0.0,0.0,0.0,,1006.4,2.6,6.3,-5.8,,
2007,1,10,2,0,238,3.2,4.6,0.0,0.0,0.0,,1007.0,2.7,6.3,-5.0,,
2007,1,10,3,0,226,1.7,3.2,0.0,0.0,0.0,,1007.2,2.1,5.9,-5.0,,
2007,1,10,4,0,205,1.3,2.0,0.0,0.0,0.0,,1007.3,0.9,6.2,-5.0,,
2007,1,10,5,0,231,0.8,1.7,0.0,0.0,0.0,,1007.4,0.5,6.6,-4.6,,
2007,1,10,6,0,226,1.5,2.5,0.0,0.0,0.0,,1007.3,0.0,6.8,-4.6,,
2007,1,10,7,0,244,2.1,2.7,0.0,0.0,0.0,,1007.1,-0.4,6.4,-4.4,,
2007,1,10,8,0,218,1.7,2.4,0.0,0.0,0.0,,1007.1,-0.7,6.1,-4.1,,
2007,1,10,9,0,263,2.4,3.3,0.0,0.0,0.0,,1007.8,-0.8,5.9,-4.2,,
2007,1,10,10,0,320,1.5,2.4,,,,,1009.4,-1.3,5.7,-4.4,,
2007,1,10,11,0,308,2.8,4.0,0.0,0.0,0.0,,1009.6,-0.7,5.9,-4.2,,
2007,1,10,12,0,320,1.6,4.0,0.0,0.0,0.0,,1010.3,-0.7,5.2,-5.1,,
2007,1,10,13,0,298,2.9,4.8,0.0,0.0,0.0,,1011.1,-1.1,5.2,-6.7,,
2007,1,10,14,0,301,3.1,5.3,0.0,0.0,0.0,,1011.9,-0.7,4.7,999.0,,
2007,1,10,15,0,328,2.3,4.4,0.0,0.0,0.0,,1012.5,-0.3,4.4,999.0,,
2007,1,10,16,0,335,2.5,4.3,0.0,0.0,0.0,,1012.1,-0.3,4.7,-11.8,,
2007,1,10,17,0,318,3.3,6.4,0.0,0.0,0.0,,1011.9,0.1,5.5,-11.7,,
2007,1,10,18,0,296,4.8,7.0,0.0,0.0,0.0,,1011.7,0.0,6.6,-10.0,,
2007,1,10,19,0,299,3.5,5.5,,,,,1012.4,-0.4,5.5,-8.3,,
2007,1,10,20,0,301,5.6,8.5,0.0,0.0,0.0,,1013.4,0.0,5.1,-7.6,,
2007,1,10,21,0,298,8.3,13.8,0.0,0.0,0.0,,1015.6,-1.2,5.1,-8.2,,
2007,1,10,22,0,312,5.2,8.0,0.0,0.0,0.0,,1017.2,-1.8,5.1,-11.3,,
2007,1,10,23,0,329,4.7,8.0,0.0,0.0,0.0,,1018.9,-2.9,4.8,-12.4,,
2007,1,11,0,0,306,4.5,7.3,0.0,0.0,0.0,,1020.3,-3.8,4.8,-13.6,,
2007,1,11,1,0,318,4.6,6.7,0.0,0.0,0.0,,1021.2,-4.7,4.4,-15.1,,
2007,1,11,2,0,307,5.0,7.1,0.0,0.0,0.0,,1022.4,-5.4,3.6,-15.5,,
2007,1,11,3,0,298,4.9,7.2,0.0,0.0,0.0,,1023.4,-6.0,3.2,-14.8,,
2007,1,11,4,0,313,4.9,8.0,0.0,0.0,0.0,,1024.1,-6.7,2.8,-16.8,,
