#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2018 04 21 09 50 999 99.0 99.0  1.03  4.76  4.16 240 1022.4   4.3   4.7 999.0 99.0 99.00
2018 04 21 10 50 999 99.0 99.0  1.03  4.55  4.12 251 1022.9   5.4   4.7 999.0 99.0 99.00
2018 04 21 11 50 999 99.0 99.0  1.05  4.76  4.19 246 1023.5   6.0   4.7 999.0 99.0 99.00
2018 04 21 12 50 999 99.0 99.0  1.04  4.55  4.09 252 1023.7   6.2   4.8 999.0 99.0 99.00
2018 04 21 13 50 999 99.0 99.0  0.93  4.55  4.09 248 1023.7   6.2   4.8 999.0 99.0 99.00
2018 04 21 14 50 999 99.0 99.0  0.83  4.17  3.97 271 1023.8   6.4   4.8 999.0 99.0 99.00
2018 04 21 15 50 999 99.0 99.0  0.84  4.55  4.00 248 1023.7   6.9   4.9 999.0 99.0 99.00
2018 04 21 16 50 999 99.0 99.0  0.72  4.17  4.10 261 1023.2   6.9   5.1 999.0 99.0 99.00
2018 04 21 17 50 999 99.0 99.0  0.64  4.17  3.97 245 1022.9   7.5   5.2 999.0 99.0 99.00
2018 04 21 18 50 999 99.0 99.0  0.58  4.00  3.91 263 1022.3   7.5   5.3 999.0 99.0 99.00
2018 04 21 19 50 999 99.0 99.0  0.57  9.09  3.89 143 1021.8   7.2   5.5 999.0 99.0 99.00
2018 04 21 20 50 999 99.0 99.0  0.51  9.09  3.73 148 1021.8   7.2   5.5 999.0 99.0 99.00
2018 04 21 21 50 999 99.0 99.0  0.63  3.85  3.77 261 1022.1   7.1   5.5 999.0 99.0 99.00
2018 04 21 22 50 999 99.0 99.0  0.66  4.00  3.77 267 1022.5   6.2   5.4 999.0 99.0 99.00
2018 04 21 23 50 999 99.0 99.0  0.66  9.09  3.77 107 1023.5   5.2   5.3 999.0 99.0 99.00
2018 04 22 00 50 999 99.0 99.0  0.57  8.33  3.75 135 1024.4   5.0   5.2 999.0 99.0 99.00
2018 04 22 01 50 999 99.0 99.0  0.52  7.69  3.91 148 1025.0   5.0   5.1 999.0 99.0 99.00
2018 04 22 02 50 999 99.0 99.0  0.51  7.14  4.00 123 1025.1   5.1   5.0 999.0 99.0 99.00
2018 04 22 03 50 999 99.0 99.0  0.52  9.09  3.98 130 1025.1   5.6   5.0 999.0 99.0 99.00
2018 04 22 04 50 999 99.0 99.0  0.45  7.14  3.62 137 1025.1   5.2   5.0 999.0 99.0 99.00
2018 04 22 05 50 999 99.0 99.0  0.43  7.14  3.81 111 1024.8   4.8   5.0 999.0 99.0 99.00
2018 04 22 06 50 999 99.0 99.0  0.37  7.14  4.01 144 1024.6   5.0   5.0 999.0 99.0 99.00
2018 04 22 07 50 999 99.0 99.0  0.37 10.00  4.07  56 1024.7   4.9   5.0 999.0 99.0 99.00
2018 04 22 08 50 999 99.0 99.0  0.41  9.09  4.09  50 1024.6   4.9   5.0 999.0 99.0 99.00
2018 04 22 09 50 999 99.0 99.0  0.41  8.33  3.73 136 1024.9   5.0   5.0 999.0 99.0 99.00
2018 04 22 10 50 999 99.0 99.0  0.41  9.09  3.48 107 1025.4   6.4   5.0 999.0 99.0 99.00
2018 04 22 11 50 999 99.0 99.0  0.46  2.74  3.31 252 1025.8   6.8   5.0 999.0 99.0 99.00
2018 04 22 12 50 999 99.0 99.0  0.46  8.33  3.44 136 1026.2   6.9   5.0 999.0 99.0 99.00
2018 04 22 13 50 999 99.0 99.0  0.48  3.23  3.33 238 1026.5   6.9   5.1 999.0 99.0 99.00
2018 04 22 14 50 999 99.0 99.0  0.49  3.23  3.34 269 1026.7   6.9   5.2 999.0 99.0 99.00
2018 04 22 15 50 999 99.0 99.0  0.48  3.13  3.48 269 1026.7   7.2   5.3 999.0 99.0 99.00
2018 04 22 16 50 999 99.0 99.0  0.50  3.45  3.58 290 1026.6   7.5   5.5 999.0 99.0 99.00
2018 04 22 17 50 999 99.0 99.0  0.51  3.45  3.69 272 1026.7   7.9   5.7 999.0 99.0 99.00
2018 04 22 18 50 999 99.0 99.0  0.46  3.70  3.81 257 1026.4   7.7   5.9 999.0 99.0 99.00
2018 04 22 19 50 999 99.0 99.0  0.40  3.85  3.95 268 1025.8   8.1   6.0 999.0 99.0 99.00
2018 04 22 20 50 999 99.0 99.0  0.40  3.70  3.95 267 1025.7   8.2   6.2 999.0 99.0 99.00
2018 04 22 21 50 999 99.0 99.0  0.36  3.45  4.00 264 1025.6   8.1   6.2 999.0 99.0 99.00
2018 04 22 22 50 999 99.0 99.0  0.34 12.12  3.97 127 1025.7   7.1   6.1 999.0 99.0 99.00
2018 04 22 23 50 999 99.0 99.0  0.35 16.00  3.83 111 1026.3   5.5   5.9 999.0 99.0 99.00
2018 04 23 00 50 999 99.0 99.0  0.37 16.00  3.46 152 1027.3   5.2   5.7 999.0 99.0 99.00
2018 04 23 01 50 999 99.0 99.0  0.37  8.33  3.57 103 1028.1   5.6   5.5 999.0 99.0 99.00
2018 04 23 02 50 999 99.0 99.0  0.42  2.94  3.15 220 1028.5   5.4   5.5 999.0 99.0 99.00
2018 04 23 03 50 999 99.0 99.0  0.42  3.03  3.44 201 1028.6   5.4   5.4 999.0 99.0 99.00
