#YY_#yr,MM_mo,DD_dy,hh_hr,mm_mn,WDIR_degT,WSPD_m/s,GST_m/s,WVHT_m,DPD_sec,APD_sec,MWD_deg,PRES_hPa,ATMP_degC,WTMP_degC,DEWP_degC,VIS_nmi,TIDE_ft
2010,1,7,15,50,304,9.5,11.5,1.38,5.56,4.15,,999.7,-0.1,7.1,-3.8,,
2010,1,7,16,50,308,8.8,10.8,1.37,5.26,4.21,,999.4,0.2,7.1,-3.6,,
2010,1,7,17,50,302,9.1,11.1,1.39,5.26,4.35,,999.1,0.2,7.1,-4.1,,
2010,1,7,18,50,304,8.4,10.9,1.44,5.56,4.35,,999.2,0.4,7.1,-4.4,,
2010,1,7,19,50,310,7.9,10.1,1.41,5.56,4.36,,1000.0,0.1,7.2,-4.9,,
2010,1,7,20,50,309,8.1,10.2,1.39,5.56,4.4,,1000.5,0.2,7.0,-4.6,,
2010,1,7,21,50,307,8.7,10.6,1.26,5.56,4.28,,1001.1,0.4,7.0,-4.8,,
2010,1,7,22,50,314,9.0,12.6,1.2,5.56,4.32,,1001.9,-0.1,7.0,-5.3,,
2010,1,7,23,50,320,9.1,11.0,1.33,5.56,4.37,,1002.9,-0.4,7.0,-5.3,,
2010,1,8,0,50,309,9.1,11.3,1.18,5.56,4.2,,1003.2,-1.0,7.0,-5.8,,
2010,1,8,1,50,303,9.1,12.2,1.21,5.0,4.16,,1003.9,-1.5,7.0,-6.0,,
2010,1,8,2,50,308,7.9,10.3,1.03,5.56,4.03,,1004.4,-1.9,7.0,-6.0,,
2010,1,8,3,50,310,8.6,10.4,1.15,5.56,4.13,,1004.6,-2.0,7.0,-5.9,,
2010,1,8,4,50,308,8.3,10.2,1.18,5.88,4.07,,1004.5,-2.1,7.0,-5.9,,
2010,1,8,5,50,308,8.1,9.5,1.09,5.26,4.02,,1004.3,-2.0,7.0,-5.4,,
2010,1,8,6,50,318,8.4,10.0,1.17,5.56,4.0,,1004.7,-2.1,7.0,-5.8,,
2010,1,8,7,50,319,7.9,9.3,1.2,5.26,4.1,,1004.8,-2.1,7.0,-5.7,,
2010,1,8,8,50,325,7.4,9.0,1.17,5.56,4.14,,1004.8,-2.2,7.1,-5.5,,
2010,1,8,9,50,320,6.5,8.5,1.12,3.85,4.17,,1004.7,-2.5,7.0,-5.8,,
2010,1,8,10,50,340,6.6,8.0,1.02,5.0,4.15,,1004.9,-2.5,7.0,-5.6,,
2010,1,8,11,50,330,3.9,5.7,0.96,5.26,4.16,,1005.5,-2.7,6.7,-6.0,,
2010,1,8,12,50,320,3.2,4.4,0.8,3.57,4.07,,1005.8,-2.8,6.6,-5.8,,
2010,1,8,13,50,299,3.3,4.4,0.76,9.09,4.3,,1006.2,-2.6,6.7,-5.7,,
2010,1,8,14,50,315,3.1,4.7,0.73,10.0,4.66,,1006.4,-2.9,6.7,-6.3,,
2010,1,8,15,50,352,2.4,3.4,0.66,9.09,4.58,,1005.6,-2.6,6.6,-6.1,,
2010,1,8,16,50,354,3.8,5.4,0.63,9.09,4.93,,1003.9,-2.3,6.7,-6.2,,
2010,1,8,17,50,356,3.4,4.8,0.72,8.33,5.72,,1002.7,-2.2,6.8,-6.5,,
2010,1,8,18,50,341,3.0,4.6,0.71,9.09,5.75,,1002.0,-2.2,6.9,-6.4,,
2010,1,8,19,50,355,3.0,4.2,0.7,9.09,5.61,,1001.7,-1.9,7.0,-6.3,,
2010,1,8,20,50,342,3.4,5.1,0.69,8.33,5.64,,1001.6,-1.7,7.0,-6.1,,
2010,1,8,21,50,351,5.2,7.2,0.67,9.09,5.43,,1001.6,-1.7,6.5,-6.0,,
2010,1,8,22,50,346,6.8,8.6,0.73,8.33,4.73,,1001.6,-2.6,6.4,-4.2,,
2010,1,8,23,50,360,7.8,9.6,0.82,7.69,4.04,,1001.6,-2.6,6.4,-3.7,,
2010,1,9,0,50,359,9.0,11.5,0.95,3.45,3.71,,1001.3,-2.1,6.5,-4.4,,
2010,1,9,1,50,358,10.0,13.5,1.0,3.7,3.62,,1001.4,-2.1,6.5,-4.5,,
2010,1,9,2,50,352,9.6,12.0,1.18,4.0,3.63,,1001.3,-2.2,6.6,-5.3,,
2010,1,9,3,50,350,9.9,11.8,1.1,4.17,3.65,,1001.3,-2.3,6.5,-5.4,,
2010,1,9,4,50,349,10.3,12.7,1.13,4.17,3.64,,1001.1,-2.2,6.7,-5.1,,
2010,1,9,5,50,339,11.2,13.4,1.2,4.76,3.78,,1000.9,-2.4,6.7,-4.6,,
2010,1,9,6,50,342,11.4,13.4,1.55,4.55,4.08,,1001.4,-2.2,6.8,-4.7,,
2010,1,9,7,50,341,12.2,15.4,1.42,4.55,3.99,,1001.6,-2.3,6.8,-5.3,,
2010,1,9,8,50,339,12.4,14.9,1.48,4.76,4.13,,1001.9,-2.0,6.6,-4.8,,
2010,1,9,9,50,336,12.3,16.2,1.54,4.76,4.23,,1002.6,-2.3,6.5,-5.7,,
2010,1,9,10,50,336,12.3,15.0,1.63,4.55,4.16,,1003.4,-2.5,6.5,-5.7,,
2010,1,9,11,50,335,12.6,15.6,1.66,5.0,4.16,,1004.6,-3.0,6.5,-6.5,,
2010,1,9,12,50,338,12.6,16.3,1.68,4.76,4.28,,1005.9,-3.4,6.6,-7.3,,
2010,1,9,13,50,338,12.7,16.1,1.72,4.76,4.15,,1006.5,-3.5,6.6,-7.6,,
2010,1,9,14,50,338,12.5,15.9,1.68,4.76,4.11,,1007.4,-3.3,6.6,-7.9,,
2010,1,9,15,50,343,10.0,12.1,1.42,4.35,3.96,,1008.2,-3.5,6.6,-8.1,,
2010,1,9,16,50,327,10.0,12.4,1.3,4.35,3.84,,1008.0,-4.0,6.6,-9.6,,
2010,1,9,17,50,333,9.3,11.8,1.17,4.55,3.82,,1008.2,-4.3,6.5,-9.7,,
2010,1,9,18,50,327,9.0,12.1,1.18,4.35,3.81,,1008.8,-4.4,6.5,-9.8,,
2010,1,9,19,50,335,9.1,11.0,1.04,4.35,3.78,,1009.5,-5.0,6.5,-10.2,,
2010,1,9,20,50,331,10.2,12.7,1.01,4.35,3.77,,1010.3,-5.3,6.5,-10.4,,
2010,1,9,21,50,330,9.8,12.7,1.17,4.35,3.92,,1011.3,-5.5,6.5,-10.3,,
2010,1,9,22,50,335,10.4,13.5,1.25,4.55,4.03,,1012.2,-6.1,6.5,-10.8,,
2010,1,9,23,50,352,10.1,13.6,1.27,4.55,3.99,,1013.0,-6.9,6.6,-11.3,,
2010,1,10,0,50,360,11.3,14.3,1.42,4.55,3.98,,1013.6,-7.2,6.6,-11.1,,
2010,1,10,1,50,1,10.5,13.1,1.3,4.55,3.86,,1014.2,-8.0,6.7,-11.7,,
2010,1,10,2,50,355,10.2,14.0,1.38,4.55,3.96,,1014.5,-8.3,6.7,-11.2,,
2010,1,10,3,50,343,10.5,14.3,1.22,4.0,3.7,,1014.7,-8.0,6.7,-10.5,,
2010,1,10,4,50,342,9.7,12.0,1.34,4.76,3.98,,1014.9,-7.9,6.7,-10.5,,
2010,1,10,5,50,344,9.4,11.8,1.33,4.35,4.04,,1014.8,-7.6,6.7,-10.2,,
2010,1,10,6,50,344,9.5,12.1,1.36,4.55,4.06,,1015.0,-7.4,6.7,-10.0,,
2010,1,10,7,50,342,9.0,10.8,1.37,4.76,4.13,,1015.0,-7.4,6.6,-10.0,,
2010,1,10,8,50,347,8.3,10.2,1.35,4.17,4.39,,1014.9,-7.2,6.6,-9.6,,
2010,1,10,9,50,360,8.2,10.0,1.46,5.0,4.49,,1014.8,-7.2,6.6,-9.6,,
2010,1,10,10,50,351,8.7,11.3,1.46,4.76,4.43,,1015.3,-7.3,6.5,-9.4,,
2010,1,10,11,50,349,8.5,11.3,1.52,4.76,4.5,,1015.9,-7.8,6.6,-10.3,,
2010,1,10,12,50,347,9.6,12.5,1.47,4.55,4.24,,1016.3,-7.8,6.6,-9.8,,
