YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2005 01 28 04 00 350 12.9 18.1  1.49  5.56  4.29 999 1030.2 -12.2   3.9 -15.0 99.0 99.00
2005 01 28 05 00 356 13.3 17.4  2.23  6.25  4.86 999 1030.4 -12.4   3.9 -14.8 99.0 99.00
2005 01 28 06 00 348 15.4 18.4  2.02  5.56  4.74 999 1030.6 -13.1   4.0 -15.8 99.0 99.00
2005 01 28 07 00 355 14.3 17.5  2.14  5.88  4.84 999 1031.3 -13.2   4.1 -15.6 99.0 99.00
2005 01 28 08 00 355 13.4 17.2  2.05  5.26  4.65 999 1032.0 -13.7   4.1 -16.0 99.0 99.00
2005 01 28 09 00 357 13.0 16.8  1.77  5.26  4.45 999 1032.7 -13.9   4.1 -16.0 99.0 99.00
2005 01 28 10 00 354 11.7 15.4  1.81  5.26  4.43 999 1033.6 -14.3   4.1 -16.6 99.0 99.00
2005 01 28 11 00 352  9.1 14.6  1.70  5.00  4.34 999 1034.2 -14.3   4.2 -16.8 99.0 99.00
2005 01 28 12 00   1 11.5 14.4  1.93  5.56  4.47 999 1034.8 -14.8   4.2 -17.3 99.0 99.00
2005 01 28 13 00 357 11.1 14.4  1.49  5.56  4.28 999 1035.3 -14.5   4.2 -16.9 99.0 99.00
2005 01 28 14 00 357 10.4 13.2  1.76  5.26  4.62 999 1035.5 -14.1   4.1 -16.6 99.0 99.00
2005 01 28 15 00 356  9.2 10.9  1.87  5.56  4.85 999 1035.5 -13.1   4.1 -15.4 99.0 99.00
2005 01 28 16 00 355  9.5 11.7  1.82  5.26  4.87 999 1035.5 -12.3   4.0 -14.6 99.0 99.00
2005 01 28 17 00 355 11.2 13.8  1.81  5.26  4.58 999 1034.7 -11.5   4.1 -13.8 99.0 99.00
2005 01 28 18 00 351 10.6 13.5  1.48  5.00  4.29 999 1034.2 -10.7   4.1 -13.2 99.0 99.00
2005 01 28 19 00 349 11.2 14.8  1.58  4.76  4.28 999 1034.0  -9.7   4.1 -14.3 99.0 99.00
2005 01 28 20 00 357 11.3 14.3  1.48  4.76  4.10 999 1034.1  -8.4   4.1 -14.8 99.0 99.00
2005 01 28 21 00 342 11.0 13.6  1.39  4.35  4.03 999 1034.4  -7.9   4.1 -14.8 99.0 99.00
2005 01 28 22 00 339 10.7 13.2  1.38  4.35  3.96 999 1035.1  -8.0   4.2 -14.4 99.0 99.00
2005 01 28 23 00 335 10.8 13.5  1.25  4.35  3.80 999 1035.8  -8.3   4.2 -14.7 99.0 99.00
2005 01 29 00 00 337 11.6 14.8  1.36  4.35  3.92 999 1035.8  -8.0   4.2 -14.2 99.0 99.00
2005 01 29 01 00 342 11.4 14.5  1.33  4.55  3.88 999 1036.0  -7.6   4.2 -13.4 99.0 99.00
