YYYY MM DD hh  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2004 01 05 16   1  6.2  7.9  0.87  7.69  4.18 999 1016.2  -2.2   6.6 999.0 99.0 99.00
2004 01 05 17  10  6.1  8.4  0.87  7.69  4.08 999 1014.5  -2.5   6.6 999.0 99.0 99.00
2004 01 05 18 358  5.5  6.8  0.75  7.69  3.96 999 1014.4  -2.5   6.6 999.0 99.0 99.00
2004 01 05 19  13  6.7  9.0  0.73  7.69  3.66 999 1013.7  -1.9   6.6 999.0 99.0 99.00
2004 01 05 20  26  6.2  8.3  0.73  7.14  3.71 999 1013.3  -1.8   6.6 999.0 99.0 99.00
2004 01 05 21  32  6.7  8.5  0.70  8.33  3.64 999 1013.4  -1.3   6.6 999.0 99.0 99.00
2004 01 05 22  37  6.8  8.7  0.78  7.69  3.71 999 1012.7  -0.9   6.5 999.0 99.0 99.00
2004 01 05 23  35  6.7  8.5  0.75  3.70  3.79 999 1012.3  -0.8   6.6 999.0 99.0 99.00
2004 01 06 00  54  7.1  8.6  0.83  4.00  3.83 999 1011.8  -0.2   6.5 999.0 99.0 99.00
2004 01 06 01  41  6.8  8.3  0.98  4.17  3.97 999 1011.9   0.3   6.6 999.0 99.0 99.00
2004 01 06 02  65  7.2  9.4  1.21  4.35  4.09 999 1010.5   1.2   6.6 999.0 99.0 99.00
2004 01 06 03 106  5.9  7.3  1.25  4.35  4.10 999 1010.2   1.1   6.6 999.0 99.0 99.00
2004 01 06 04  93  5.1  6.4  1.27  4.55  4.23 999 1009.7   1.3   6.6 999.0 99.0 99.00
2004 01 06 05 104  4.3  5.5  1.03  4.55  4.08 999 1008.7   1.5   6.6 999.0 99.0 99.00
2004 01 06 06 100  4.8  6.2  0.92  4.55  4.11 999 1007.8   1.4   6.5 999.0 99.0 99.00
2004 01 06 07 107  4.7  5.7  0.85  3.70  4.01 999 1007.6   1.7   6.6 999.0 99.0 99.00
2004 01 06 08 107  3.9  4.7  0.78  7.69  3.80 999 1007.6   1.3   6.5 999.0 99.0 99.00
2004 01 06 09 114  4.9  5.7  0.82  8.33  3.88 999 1006.7   1.3   6.5 999.0 99.0 99.00
2004 01 06 10 114  4.4  5.1  0.88  7.14  4.12 999 1006.5   1.2   6.4 999.0 99.0 99.00
2004 01 06 11 137  3.4  4.2  0.88  7.14  4.37 999 1006.7   1.4   6.4 999.0 99.0 99.00
2004 01 06 12 159  3.5  4.5  0.99  4.76  4.66 999 1006.6   1.5   6.4 999.0 99.0 99.00
2004 01 06 13 325  3.7  4.9  1.02  8.33  4.81 999 1006.8   1.1   6.4 999.0 99.0 99.00
2004 01 06 14 291  8.2  9.5  1.04  7.69  4.55 999 1007.4  -1.2   6.4 999.0 99.0 99.00
2004 01 06 15 282  9.0 10.7  1.11  7.69  4.24 999 1007.4  -1.2   6.5 999.0 99.0 99.00
2004 01 06 16 305 10.0 12.9  1.31  4.35  4.14 999 1007.0  -1.4   6.4 999.0 99.0 99.00
2004 01 06 17 303  8.4 10.0  1.36  4.55  4.35 999 1007.0  -2.2   6.4 999.0 99.0 99.00
2004 01 06 18 297  9.5 11.0 99.00 99.00 99.00 999 1006.8  -2.3   6.4 999.0 99.0 99.00
2004 01 06 19 291  9.3 11.0  1.55  5.26  4.64 999 1006.7  -1.8   6.5 999.0 99.0 99.00
2004 01 06 20 295  8.9 11.0  1.48  5.00  4.64 999 1007.1  -1.4   6.6 999.0 99.0 99.00
2004 01 06 21 272  7.6  9.6  1.31  9.09  4.40 999 1007.9  -1.4   6.5 999.0 99.0 99.00
2004 01 06 22 274  8.5 10.6  1.32  4.55  4.25 999 1008.4  -0.8   6.5 999.0 99.0 99.00
2004 01 06 23 263  8.5 10.8  1.44  8.33  4.64 999 1008.2  -0.2   6.5 999.0 99.0 99.00
2004 01 07 00 266  9.7 11.9  1.46  5.00  4.39 999 1008.3   0.5   6.5 999.0 99.0 99.00
2004 01 07 01 279 11.1 13.2  1.79  4.76  4.61 999 1008.5   0.5   6.5 999.0 99.0 99.00
2004 01 07 02 278 10.8 12.3  1.80  5.26  4.60 999 1008.5   0.0   6.5 999.0 99.0 99.00
2004 01 07 03 282 11.0 13.7  1.98  5.56  4.81 999 1008.5   0.1   6.5 999.0 99.0 99.00
2004 01 07 04 999  9.3 12.1  1.93  5.56  4.81 999 1008.8  -0.7   6.5 999.0 99.0 99.00
2004 01 07 05 999  9.5 13.4  1.85  6.67  4.89 999 1008.3  -2.0   6.4 999.0 99.0 99.00
2004 01 07 06 999 10.9 14.1  1.92  5.26  4.82 999 1009.0  -3.6   6.5 999.0 99.0 99.00
2004 01 07 07 999 10.1 14.0  2.14  5.26  4.97 999 1010.2  -4.6   6.5 999.0 99.0 99.00
2004 01 07 08 999 10.3 13.8  2.11  5.26  4.77 999 1010.9  -5.4   6.6 999.0 99.0 99.00
2004 01 07 09 999  8.2 11.9  2.03  5.00  4.87 999 1011.5  -5.8   6.6 999.0 99.0 99.00
2004 01 07 10 999  7.7 10.6  1.67  7.14  4.65 999 1011.5  -6.7   6.6 999.0 99.0 99.00
2004 01 07 11 999  6.6 10.5  1.62  7.14  4.72 999 1011.7  -6.9   6.6 999.0 99.0 99.00
2004 01 07 12 999  5.8 10.4  1.74  8.33  4.95 999 1012.2  -7.0   6.5 999.0 99.0 99.00
2004 01 07 13 999  5.5  9.8  1.60  7.14  5.11 999 1012.4  -6.9   6.5 999.0 99.0 99.00
2004 01 07 14 999  5.0 10.6  1.55  7.14  4.93 999 1012.2  -6.6   6.5 999.0 99.0 99.00
2004 01 07 15 999  7.0 11.9  1.48  7.14  4.68 999 1011.6  -6.6   6.6 999.0 99.0 99.00
2004 01 07 16 999  7.7 11.6  1.76  9.09  4.75 999 1010.7  -6.3   6.6 999.0 99.0 99.00
2004 01 07 17 999  8.4 12.3  1.75  4.76  4.77 999 1009.3  -5.8   6.5 999.0 99.0 99.00
2004 01 07 18 999  9.9 13.9  1.72  5.56  4.91 999 1008.8  -5.7   6.5 999.0 99.0 99.00
2004 01 07 19 999  8.2 12.5  1.86  5.88  4.88 999 1009.0  -5.4   6.6 999.0 99.0 99.00
2004 01 07 20 999  8.9 12.8  1.95  5.88  4.99 999 1009.2  -5.1   6.6 999.0 99.0 99.00
2004 01 07 21 999  9.6 15.1  2.13  6.25  4.95 999 1009.5  -4.9   6.6 999.0 99.0 99.00
2004 01 07 22 999 10.4 13.4  2.26  6.67  4.89 999 1010.3  -5.6   6.6 999.0 99.0 99.00
2004 01 07 23 999  6.2 10.6  2.31  6.67  5.19 999 1010.8  -6.0   6.6 999.0 99.0 99.00
2004 01 08 00 999  7.4 11.8  2.10  7.14  5.37 999 1010.3  -6.0   6.6 999.0 99.0 99.00
2004 01 08 01 999  8.1 12.4  2.01  7.69  5.32 999 1009.2  -5.6   6.6 999.0 99.0 99.00
2004 01 08 02 999 13.5 19.0  2.56  6.25  5.27 999 1007.9  -5.2   6.6 999.0 99.0 99.00
2004 01 08 03 999 12.6 18.3  2.92  6.67  5.52 999 1008.3  -6.9   6.6 999.0 99.0 99.00
2004 01 08 04 999 14.1 19.0  3.07  7.14  5.70 999 1008.2  -7.6   6.6 999.0 99.0 99.00
2004 01 08 05 999 14.4 20.2  3.41  6.67  5.87 999 1008.6  -8.2   6.6 999.0 99.0 99.00
2004 01 08 06 999 14.4 17.9  3.65  7.69  6.03 999 1009.2  -9.5   6.6 999.0 99.0 99.00
2004 01 08 07 999 14.8 18.5  3.87  9.09  6.35 999 1010.5 -11.5   6.4 999.0 99.0 99.00
2004 01 08 08 999 12.8 17.4  4.12  9.09  6.52 999 1011.3 -13.1   6.4 999.0 99.0 99.00
2004 01 08 09 999 13.8 18.0  3.78  9.09  6.42 999 1011.5 -14.8   6.4 999.0 99.0 99.00
2004 01 08 10 999 14.9 19.9  3.70  9.09  5.97 999 1012.0 -15.6   6.4 999.0 99.0 99.00
2004 01 08 11 999 13.4 16.9  3.76  9.09  6.21 999 1012.8 -16.1   6.3 999.0 99.0 99.00
2004 01 08 12 999 13.9 18.7  3.68  9.09  6.21 999 1013.0 -15.7   6.3 999.0 99.0 99.00
2004 01 08 13 999 13.1 16.9  3.49  9.09  6.32 999 1013.4 -15.8   6.3 999.0 99.0 99.00
2004 01 08 14 999 12.3 16.4  3.59  9.09  6.16 999 1013.4 -15.2   6.4 999.0 99.0 99.00
2004 01 08 15 999 13.7 17.0  3.40  8.33  6.05 999 1013.4 -14.8   6.4 999.0 99.0 99.00
2004 01 08 16 999 13.9 18.1  3.44  8.33  6.10 999 1012.9 -14.5   6.4 999.0 99.0 99.00
2004 01 08 17 999 13.0 17.5  3.35  8.33  6.00 999 1011.8 -14.2   6.4 999.0 99.0 99.00
2004 01 08 18 999 13.8 17.4  3.21  6.67  5.83 999 1011.4 -14.1   6.4 999.0 99.0 99.00
2004 01 08 19 999 13.4 17.9  3.63  7.14  6.03 999 1011.6 -13.5   6.4 999.0 99.0 99.00
2004 01 08 20 999 12.7 17.4  3.19  7.14  5.84 999 1011.9 -13.6   6.4 999.0 99.0 99.00
2004 01 08 21 999 11.1 15.8  2.82  7.69  5.46 999 1012.7 -13.2   6.4 999.0 99.0 99.00
2004 01 08 22 999 11.7 16.4  2.86  7.14  5.26 999 1014.1 -13.5   6.4 999.0 99.0 99.00
2004 01 08 23 999 10.4 13.7  2.82  7.69  5.48 999 1015.2 -13.7   6.3 999.0 99.0 99.00
2004 01 09 00 999  9.3 13.5  2.43  7.69  5.24 999 1015.9 -14.0   6.3 999.0 99.0 99.00
2004 01 09 01 999  8.9 11.9  2.43  7.14  5.26 999 1016.9 -14.6   6.3 999.0 99.0 99.00
2004 01 09 02 999  8.7 12.5  2.25  6.67  5.29 999 1017.2 -14.8   6.2 999.0 99.0 99.00
2004 01 09 03 999  8.6 12.4  2.25  6.67  5.12 999 1017.7 -14.7   6.2 999.0 99.0 99.00
2004 01 09 04 999  8.4 11.9  2.10  5.56  4.95 999 1018.1 -14.8   6.2 999.0 99.0 99.00
2004 01 09 05 999  7.2 10.3  1.87  6.67  4.83 999 1018.7 -15.3   6.1 999.0 99.0 99.00
2004 01 09 06 999  7.8 10.5  1.90  6.25  4.96 999 1018.9 -15.3   6.1 999.0 99.0 99.00
2004 01 09 07 999  7.3 10.6  1.79  5.88  4.76 999 1019.6 -15.6   6.2 999.0 99.0 99.00
2004 01 09 08 999  7.1  9.8  1.83  6.25  4.70 999 1020.3 -16.0   6.2 999.0 99.0 99.00
2004 01 09 09 999  7.7 10.5  1.82  6.25  4.54 999 1020.1 -15.7   6.2 999.0 99.0 99.00
2004 01 09 10 999  7.3  9.8  1.71  4.17  4.38 999 1019.7 -15.7   6.2 999.0 99.0 99.00
2004 01 09 11 999  7.9 12.2  1.68  4.55  4.32 999 1019.6 -15.5   6.2 999.0 99.0 99.00
2004 01 09 12 999  8.4 10.5  1.61  4.55  4.24 999 1019.2 -15.0   6.2 999.0 99.0 99.00
2004 01 09 13 999  7.3  9.4  1.66  4.35  4.33 999 1019.9 -16.1   6.2 999.0 99.0 99.00
2004 01 09 14 999  6.0  9.0  1.53  5.00  4.37 999 1020.0 -16.3   6.2 999.0 99.0 99.00
2004 01 09 15 999  4.4  6.6  1.38  5.00  4.41 999 1020.3 -16.3   6.2 999.0 99.0 99.00
2004 01 09 16 999  3.1  6.4  1.27  5.00  4.21 999 1020.1 -15.8   6.2 999.0 99.0 99.00
2004 01 09 17 999  3.6  6.6  1.15  4.76  4.14 999 1019.5 -15.4   6.2 999.0 99.0 99.00
2004 01 09 18 999  3.6  6.0  1.02  4.17  3.91 999 1019.1 -14.8   6.3 999.0 99.0 99.00
2004 01 09 19 999  4.7  7.9  0.98  3.57  3.82 999 1019.1 -13.7   6.3 999.0 99.0 99.00
2004 01 09 20 999  5.9  9.8  0.95  3.57  3.68 999 1019.3 -13.6   6.3 999.0 99.0 99.00
2004 01 09 21 999  7.3 10.6  1.05  4.00  3.71 999 1019.4 -13.3   6.2 999.0 99.0 99.00
2004 01 09 22 999  8.1 10.9  1.10  3.85  3.61 999 1019.5 -13.3   6.2 999.0 99.0 99.00
2004 01 09 23 999  9.3 13.8  1.32  4.55  3.79 999 1020.1 -13.5   6.2 999.0 99.0 99.00
2004 01 10 00 999  9.2 12.6  1.42  4.55  3.95 999 1021.0 -13.8   6.2 999.0 99.0 99.00
2004 01 10 01 999  9.1 12.8  1.52  4.76  4.12 999 1021.2 -14.1   6.2 999.0 99.0 99.00
2004 01 10 02 999  9.1 12.6  1.47  5.00  4.20 999 1021.5 -14.6   6.2 999.0 99.0 99.00
2004 01 10 03 999 10.4 15.3  1.57  5.26  4.27 999 1021.6 -14.9   6.2 999.0 99.0 99.00
2004 01 10 04 999  9.2 12.3  1.59  5.00  4.22 999 1021.9 -15.1   6.3 999.0 99.0 99.00
2004 01 10 05 999  8.9 11.8  1.72  4.76  4.22 999 1021.9 -15.6   6.3 999.0 99.0 99.00
2004 01 10 06 999  9.1 11.4  1.67  5.00  4.21 999 1021.9 -15.7   6.3 999.0 99.0 99.00
2004 01 10 07 999  8.8 11.9  1.71  5.00  4.28 999 1022.2 -16.0   6.3 999.0 99.0 99.00
2004 01 10 08 999  8.2 11.3  1.55  4.76  4.16 999 1022.4 -16.3   6.3 999.0 99.0 99.00
2004 01 10 09 999  8.7 11.4  1.53  4.76  4.08 999 1022.5 -16.1   6.2 999.0 99.0 99.00
2004 01 10 10 999  8.9 11.7  1.80  4.76  4.25 999 1022.1 -16.2   6.2 999.0 99.0 99.00
2004 01 10 11 999  8.4 10.9  1.74  5.00  4.26 999 1022.3 -16.4   6.2 999.0 99.0 99.00
2004 01 10 12 999  8.8 99.0 99.00 99.00 99.00 999    0.0 -16.1 999.0 999.0 99.0 99.00
2004 01 10 13 999  7.6  9.9  1.67  5.00  4.23 999 1022.6 -16.9   6.2 999.0 99.0 99.00
2004 01 10 14 999  7.3 10.5  1.53  5.26  4.29 999 1022.9 -16.8   6.2 999.0 99.0 99.00
2004 01 10 15 999  5.9  8.0  1.37  5.00  4.19 999 1022.8 -16.7   6.2 999.0 99.0 99.00
2004 01 10 16 999  5.7  8.3  1.20  4.35  3.97 999 1021.7 -16.7   6.2 999.0 99.0 99.00
2004 01 10 17 999  5.6  9.5  1.15  4.35  3.90 999 1021.0 -16.0   6.3 999.0 99.0 99.00
