YYYY,MM,DD,hh,mm_mn,WD,WSPD,GST,WVHT,DPD,APD,MWD,BAR,ATMP,WTMP,DEWP,VIS,TIDE_ft
1999,1,8,0,,291,7.7,9.2,0.52,10.0,3.89,,1024.6,-6.2,,,,
1999,1,8,1,,267,7.6,9.9,0.43,9.09,5.12,,1025.7,-6.4,,,,
1999,1,8,2,,257,8.3,11.0,0.5,10.0,3.9,,1026.3,-6.0,,,,
1999,1,8,3,,253,8.4,10.2,0.51,9.09,3.71,,1026.9,-6.1,,,,
1999,1,8,4,,246,9.3,11.3,0.6,9.09,3.85,,1027.3,-6.4,,,,
1999,1,8,5,,247,9.2,11.3,0.74,3.7,3.72,,1027.7,-6.1,,,,
1999,1,8,6,,242,9.6,12.2,0.77,3.85,3.69,,1027.9,-6.4,,,,
1999,1,8,7,,241,9.9,12.9,0.87,3.85,3.82,,1028.7,-6.6,,,,
1999,1,8,8,,238,10.9,13.6,1.03,4.35,3.88,,1029.5,-6.2,,,,
1999,1,8,9,,239,10.5,13.4,0.99,4.55,3.86,,1029.9,-6.5,,,,
1999,1,8,10,,244,10.6,13.2,1.01,4.35,3.96,,1030.7,-6.9,,,,
1999,1,8,11,,246,10.6,13.2,0.98,4.76,3.91,,1031.5,-6.8,,,,
1999,1,8,12,,250,9.4,12.6,0.9,4.55,3.85,,1032.5,-6.9,,,,
1999,1,8,13,,257,8.8,10.7,0.89,4.35,3.95,,1033.5,-6.9,,,,
1999,1,8,14,,258,7.5,9.3,0.83,4.17,3.96,,1033.5,-6.9,,,,
1999,1,8,15,,260,6.0,7.4,0.73,4.35,3.81,,1034.3,-6.8,,,,
1999,1,8,16,,255,4.8,6.6,0.67,4.0,4.02,,1034.2,-6.2,,,,
1999,1,8,17,,246,3.6,5.0,0.62,10.0,4.2,,1033.3,-5.8,,,,
1999,1,8,18,,237,3.0,4.8,0.52,9.09,4.35,,1032.8,-5.3,,,,
1999,1,8,19,,209,3.4,4.8,0.5,10.0,4.76,,1032.1,-4.9,,,,
1999,1,8,20,,193,5.5,6.9,0.51,10.0,5.39,,1031.4,-3.9,,,,
1999,1,8,21,,182,7.1,9.2,0.51,10.0,4.5,,1030.4,-3.0,,,,
1999,1,8,22,,179,7.5,9.4,0.6,9.09,3.72,,1029.5,-2.5,,,,
1999,1,8,23,,187,6.6,8.0,0.71,3.33,3.73,,1029.6,-2.9,,,,
1999,1,9,0,,182,5.4,6.6,0.82,3.85,3.82,,1028.9,-2.2,,,,
1999,1,9,1,,153,5.3,6.4,0.74,3.85,3.9,,1027.5,-1.6,,,,
1999,1,9,2,,136,8.4,11.2,0.84,4.0,3.99,,1025.1,-0.6,,,,
1999,1,9,3,,143,10.0,11.7,0.98,4.17,4.05,,1023.6,0.1,,,,
1999,1,9,4,,131,9.3,11.4,1.25,4.55,4.15,,1021.5,0.7,,,,
1999,1,9,5,,123,8.5,10.3,1.5,5.26,4.53,,1018.7,1.6,,,,
1999,1,9,6,,95,6.6,7.5,1.48,5.26,4.52,,1016.3,1.8,,,,
1999,1,9,7,,92,2.7,4.0,1.89,5.88,5.17,,1013.8,4.3,,,,
1999,1,9,8,,324,6.3,7.5,2.13,7.14,5.54,,1012.0,-0.4,,,,
1999,1,9,9,,273,3.6,5.2,2.43,7.69,5.97,,1011.6,-1.7,,,,
1999,1,9,10,,278,2.8,4.0,2.17,7.14,6.0,,1011.4,-2.7,,,,
1999,1,9,11,,249,3.6,4.8,2.32,7.69,6.53,,1011.4,-2.1,,,,
1999,1,9,12,,241,2.7,3.3,2.1,7.69,6.25,,1010.6,-0.8,,,,
1999,1,9,13,,227,1.6,2.1,2.0,7.69,6.36,,1009.9,0.3,,,,
1999,1,9,14,,204,2.1,2.7,2.01,7.69,6.23,,1009.0,1.7,,,,
1999,1,9,15,,331,0.8,2.5,1.79,7.14,5.77,,1007.9,2.0,,,,
1999,1,9,16,,332,1.5,2.8,1.81,7.69,5.93,,1006.2,3.2,,,,
1999,1,9,17,,1,3.6,5.1,1.76,7.69,5.62,,1004.1,1.8,,,,
1999,1,9,18,,203,7.0,10.4,1.99,6.25,5.45,,1001.8,7.1,,,,
1999,1,9,19,,200,6.6,8.8,2.45,8.33,5.56,,1000.0,7.0,,,,
1999,1,9,20,,175,13.0,14.9,2.94,8.33,5.83,,998.1,8.2,,,,
1999,1,9,21,,178,12.1,15.1,2.94,8.33,5.79,,996.9,8.6,,,,
1999,1,9,22,,180,11.1,13.5,2.98,9.09,6.11,,995.9,8.3,,,,
1999,1,9,23,,214,6.9,8.9,2.88,8.33,6.46,,998.9,7.0,,,,
1999,1,10,0,,266,9.1,11.0,2.35,9.09,6.17,,1000.7,4.5,,,,
1999,1,10,1,,251,7.0,8.4,2.29,9.09,6.58,,1002.1,3.5,,,,
1999,1,10,2,,250,8.4,10.1,2.07,9.09,6.75,,1003.1,2.9,,,,
1999,1,10,3,,269,9.5,11.4,2.12,9.09,6.64,,1004.6,1.5,,,,
1999,1,10,4,,281,7.8,9.5,1.89,9.09,6.7,,1007.1,0.9,,,,
1999,1,10,5,,290,11.0,13.5,1.89,9.09,5.88,,1008.1,-0.2,,,,
1999,1,10,6,,313,9.0,11.5,1.8,10.0,6.25,,1009.5,-1.4,,,,
1999,1,10,7,,301,7.5,9.9,1.58,10.0,6.5,,1010.9,-2.4,,,,
1999,1,10,8,,,,,,,,,,,,,,
1999,1,10,9,,324,6.9,8.7,1.09,10.0,6.08,,1012.2,-3.9,,,,
1999,1,10,10,,327,6.4,8.3,1.0,9.09,6.02,,1013.0,-4.2,,,,
1999,1,10,11,,330,7.3,9.6,1.13,10.0,6.38,,1013.7,-4.6,,,,
1999,1,10,12,,319,7.7,9.4,0.98,9.09,5.5,,1015.0,-4.8,,,,
1999,1,10,13,,317,6.7,8.3,0.95,10.0,5.64,,1016.3,-5.3,,,,
1999,1,10,14,,317,6.7,9.1,1.04,10.0,6.29,,1017.0,-5.5,,,,
1999,1,10,15,,336,4.9,6.9,0.95,10.0,6.43,,1017.8,-5.8,,,,
1999,1,10,16,,340,4.5,6.1,0.94,10.0,6.57,,1017.9,-5.7,,,,
1999,1,10,17,,341,4.5,6.7,0.99,10.0,7.16,,1017.3,-5.8,,,,
1999,1,10,18,,350,3.8,5.5,1.14,10.0,7.91,,1017.3,-5.8,,,,
1999,1,10,19,,332,2.1,4.0,1.19,10.0,8.61,,1017.0,-5.6,,,,
1999,1,10,20,,26,2.0,3.2,1.21,11.11,8.97,,1017.0,-5.3,,,,
1999,1,10,21,,65,0.4,1.5,1.19,10.0,8.99,,1017.2,-4.9,,,,
1999,1,10,22,,300,1.0,2.5,1.07,11.11,9.18,,1017.5,-5.5,,,,
1999,1,10,23,,59,1.3,2.2,1.18,11.11,9.22,,1016.8,-5.4,,,,
1999,1,11,0,,109,2.6,4.1,1.0,11.11,9.04,,1016.3,-4.9,,,,
1999,1,11,1,,153,1.6,3.1,1.08,11.11,9.2,,1016.5,-4.6,,,,
1999,1,11,2,,162,1.6,3.3,1.25,11.11,9.55,,1016.0,-4.3,,,,
1999,1,11,3,,284,5.2,6.5,1.42,11.11,9.72,,1015.8,-5.5,,,,
1999,1,11,4,,278,5.2,7.5,1.49,10.0,9.61,,1015.5,-6.1,,,,
1999,1,11,5,,253,3.7,5.2,1.5,10.0,9.52,,1015.6,-5.7,,,,
