YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
97 01 06 04 303  4.9  6.0  1.15  6.67  5.79 999  994.8   2.9   5.2 999.0 99.0
97 01 06 05 295  3.6  4.4  1.20  7.14  5.92 999  994.7   2.9   5.2 999.0 99.0
97 01 06 06 278  2.0  2.6  1.12  7.14  5.83 999  994.8   3.0   5.2 999.0 99.0
97 01 06 07 315   .3   .9  1.08  7.14  5.74 999  994.7   3.2   5.2 999.0 99.0
97 01 06 08 194   .4   .8  1.02  6.67  5.78 999  994.8   3.4   5.2 999.0 99.0
97 01 06 09 213  4.0  4.4   .97  6.67  5.61 999  994.5   4.2   5.2 999.0 99.0
97 01 06 10 248  4.6  5.5  1.14  7.14  5.77 999  994.2   4.3   5.2 999.0 99.0
97 01 06 11 263  4.2  5.1  1.22  7.14  5.76 999  994.8   3.9   5.2 999.0 99.0
97 01 06 12 243  6.5  8.5  1.16  7.14  5.57 999  995.2   5.2   5.1 999.0 99.0
97 01 06 13 247  9.4 11.3  1.03  7.14  4.65 999  994.8   5.1   5.1 999.0 99.0
97 01 06 14 270 11.0 13.0  1.09  7.14  4.31 999  995.2   4.4   5.2 999.0 99.0
97 01 06 15 279  9.4 12.3   .97  6.67  4.38 999  996.2   4.3   5.1 999.0 99.0
97 01 06 16 277 12.5 15.5  1.01  7.14  4.17 999  995.6   4.8   5.1 999.0 99.0
97 01 06 17 274 11.2 13.5   .96  3.45  4.07 999  996.2   5.1   5.1 999.0 99.0
97 01 06 18 264  9.1 12.9   .90  4.17  4.09 999  996.8   4.7   5.1 999.0 99.0
97 01 06 19 274 11.3 14.8   .82  4.35  3.96 999  996.9   4.4   5.1 999.0 99.0
97 01 06 20 268 10.0 12.8   .92  3.57  3.94 999  997.4   4.3   5.1 999.0 99.0
97 01 06 21 271 10.6 13.1   .87  7.69  4.10 999  997.8   4.0   5.1 999.0 99.0
97 01 06 22 265  9.9 11.8   .85  7.69  4.19 999  998.4   3.6   5.1 999.0 99.0
97 01 06 23 259 11.2 14.0   .98  4.35  4.11 999  998.5   3.1   5.1 999.0 99.0
97 01 07 00 271 11.0 14.1  1.01  4.55  4.07 999  999.3   2.8   5.1 999.0 99.0
97 01 07 01 277 11.8 16.7  1.04  5.00  4.13 999 1000.0   2.3   4.8 999.0 99.0
97 01 07 02 281 10.1 12.4  1.09  5.26  4.20 999 1000.8   1.8   5.1 999.0 99.0
97 01 07 03 274  8.6 11.5   .90  5.26  4.27 999 1001.6   1.6   5.2 999.0 99.0
97 01 07 04 280  9.1 11.2   .87  5.00  4.10 999 1001.1   1.3   5.6 999.0 99.0
97 01 07 05 268  9.4 11.8   .95  4.76  4.08 999 1001.0   1.2   5.6 999.0 99.0
97 01 07 06 275  9.6 11.4   .86  5.00  3.97 999 1000.9   1.1   5.6 999.0 99.0
97 01 07 07 269 10.3 13.3   .85  4.76  4.02 999 1001.7   1.2   5.5 999.0 99.0
97 01 07 08 273 10.1 13.5   .98  5.00  4.02 999 1001.9   1.2   5.6 999.0 99.0
97 01 07 09 271  9.1 10.9   .90  4.76  4.13 999 1002.3    .8   5.6 999.0 99.0
97 01 07 10 270  8.1 10.9   .93  4.76  4.03 999 1001.9    .4   5.6 999.0 99.0
97 01 07 11 267  9.7 11.8   .84  4.35  4.03 999 1002.0    .3   5.6 999.0 99.0
97 01 07 12 267 10.2 12.5   .87  4.76  3.91 999 1001.9    .2   5.6 999.0 99.0
97 01 07 13 270 11.5 15.4  1.00  4.17  3.88 999 1001.8    .1   5.6 999.0 99.0
97 01 07 14 278 10.2 12.5  1.00  5.00  4.07 999 1002.1   -.1   5.5 999.0 99.0
97 01 07 15 276 11.2 13.5   .94  4.76  3.92 999 1001.8   -.3   5.6 999.0 99.0
97 01 07 16 271 10.3 15.1   .92  3.45  3.92 999 1001.3   -.1   5.8 999.0 99.0
97 01 07 17 270 12.9 16.1   .95  3.45  3.66 999 1000.1    .0   5.9 999.0 99.0
97 01 07 18 283 12.8 15.9   .91  4.76  3.79 999  999.7    .1   5.9 999.0 99.0
97 01 07 19 289 12.3 16.6   .96  4.55  3.85 999  999.1    .0   6.0 999.0 99.0
97 01 07 20 288 10.3 12.6   .92  3.70  3.86 999  999.3   -.7   5.6 999.0 99.0
97 01 07 21 281 16.1 19.7  1.15  4.00  3.69 999  998.4   -.3   5.5 999.0 99.0
97 01 07 22 282 12.3 16.6  1.21  4.17  3.85 999  999.4   -.7   5.8 999.0 99.0
97 01 07 23 281 11.7 15.0  1.12  4.17  3.72 999  999.8  -1.4   6.1 999.0 99.0
97 01 08 00 285 14.1 18.5  1.10  4.00  3.68 999 1000.1  -1.9   5.9 999.0 99.0
97 01 08 01 289 12.3 15.3  1.02  4.17  3.61 999 1000.6  -2.6   5.6 999.0 99.0
97 01 08 02 291 11.9 14.8   .97  3.57  3.52 999 1001.4  -3.4   5.8 999.0 99.0
97 01 08 03 288 11.7 14.5   .92  3.45  3.52 999 1001.3  -4.0   5.7 999.0 99.0
97 01 08 04 284 10.3 13.0   .81  3.85  3.59 999 1002.0  -5.0   5.6 999.0 99.0
97 01 08 05 275 11.5 15.0   .83  4.00  3.54 999 1001.6  -5.2   5.6 999.0 99.0
97 01 08 06 280 12.2 16.4   .92  4.00  3.63 999 1001.0  -4.8   5.6 999.0 99.0
97 01 08 07 280 10.9 14.1   .87  3.85  3.62 999 1001.2  -4.7   5.9 999.0 99.0
97 01 08 08 285 10.6 12.7   .82  3.70  3.58 999 1001.4  -4.9   5.9 999.0 99.0
97 01 08 09 282  9.8 12.1   .71  3.57  3.47 999 1001.6  -5.1   5.9 999.0 99.0
97 01 08 10 276  8.6 11.0   .70  4.17  3.58 999 1001.8  -5.6   5.9 999.0 99.0
97 01 08 11 290  7.8  9.8   .61  3.33  3.54 999 1002.5  -5.9   5.9 999.0 99.0
97 01 08 12 288  7.3  9.8   .60  3.57  3.42 999 1003.3  -6.1   5.9 999.0 99.0
97 01 08 13 313  6.5  8.5   .53  3.33  3.36 999 1004.3  -6.5   5.8 999.0 99.0
97 01 08 14 309  5.4  7.6   .52  2.86  3.23 999 1004.9  -6.6   5.8 999.0 99.0
