YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
1999 01 09 11 249  3.6  4.8  2.32  7.69  6.53 999 1011.4  -2.1 999.0 999.0 99.0
1999 01 09 12 241  2.7  3.3  2.10  7.69  6.25 999 1010.6   -.8 999.0 999.0 99.0
1999 01 09 13 227  1.6  2.1  2.00  7.69  6.36 999 1009.9    .3 999.0 999.0 99.0
1999 01 09 14 204  2.1  2.7  2.01  7.69  6.23 999 1009.0   1.7 999.0 999.0 99.0
1999 01 09 15 331   .8  2.5  1.79  7.14  5.77 999 1007.9   2.0 999.0 999.0 99.0
1999 01 09 16 332  1.5  2.8  1.81  7.69  5.93 999 1006.2   3.2 999.0 999.0 99.0
1999 01 09 17   1  3.6  5.1  1.76  7.69  5.62 999 1004.1   1.8 999.0 999.0 99.0
1999 01 09 18 203  7.0 10.4  1.99  6.25  5.45 999 1001.8   7.1 999.0 999.0 99.0
1999 01 09 19 200  6.6  8.8  2.45  8.33  5.56 999 1000.0   7.0 999.0 999.0 99.0
1999 01 09 20 175 13.0 14.9  2.94  8.33  5.83 999  998.1   8.2 999.0 999.0 99.0
1999 01 09 21 178 12.1 15.1  2.94  8.33  5.79 999  996.9   8.6 999.0 999.0 99.0
1999 01 09 22 180 11.1 13.5  2.98  9.09  6.11 999  995.9   8.3 999.0 999.0 99.0
1999 01 09 23 214  6.9  8.9  2.88  8.33  6.46 999  998.9   7.0 999.0 999.0 99.0
1999 01 10 00 266  9.1 11.0  2.35  9.09  6.17 999 1000.7   4.5 999.0 999.0 99.0
1999 01 10 01 251  7.0  8.4  2.29  9.09  6.58 999 1002.1   3.5 999.0 999.0 99.0
1999 01 10 02 250  8.4 10.1  2.07  9.09  6.75 999 1003.1   2.9 999.0 999.0 99.0
1999 01 10 03 269  9.5 11.4  2.12  9.09  6.64 999 1004.6   1.5 999.0 999.0 99.0
1999 01 10 04 281  7.8  9.5  1.89  9.09  6.70 999 1007.1    .9 999.0 999.0 99.0
1999 01 10 05 290 11.0 13.5  1.89  9.09  5.88 999 1008.1   -.2 999.0 999.0 99.0
1999 01 10 06 313  9.0 11.5  1.80 10.00  6.25 999 1009.5  -1.4 999.0 999.0 99.0
1999 01 10 07 301  7.5  9.9  1.58 10.00  6.50 999 1010.9  -2.4 999.0 999.0 99.0
1999 01 10 08 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
1999 01 10 09 324  6.9  8.7  1.09 10.00  6.08 999 1012.2  -3.9 999.0 999.0 99.0
1999 01 10 10 327  6.4  8.3  1.00  9.09  6.02 999 1013.0  -4.2 999.0 999.0 99.0
1999 01 10 11 330  7.3  9.6  1.13 10.00  6.38 999 1013.7  -4.6 999.0 999.0 99.0
1999 01 10 12 319  7.7  9.4   .98  9.09  5.50 999 1015.0  -4.8 999.0 999.0 99.0
1999 01 10 13 317  6.7  8.3   .95 10.00  5.64 999 1016.3  -5.3 999.0 999.0 99.0
1999 01 10 14 317  6.7  9.1  1.04 10.00  6.29 999 1017.0  -5.5 999.0 999.0 99.0
1999 01 10 15 336  4.9  6.9   .95 10.00  6.43 999 1017.8  -5.8 999.0 999.0 99.0
1999 01 10 16 340  4.5  6.1   .94 10.00  6.57 999 1017.9  -5.7 999.0 999.0 99.0
1999 01 10 17 341  4.5  6.7   .99 10.00  7.16 999 1017.3  -5.8 999.0 999.0 99.0
1999 01 10 18 350  3.8  5.5  1.14 10.00  7.91 999 1017.3  -5.8 999.0 999.0 99.0
1999 01 10 19 332  2.1  4.0  1.19 10.00  8.61 999 1017.0  -5.6 999.0 999.0 99.0
1999 01 10 20  26  2.0  3.2  1.21 11.11  8.97 999 1017.0  -5.3 999.0 999.0 99.0
1999 01 10 21  65   .4  1.5  1.19 10.00  8.99 999 1017.2  -4.9 999.0 999.0 99.0
1999 01 10 22 300  1.0  2.5  1.07 11.11  9.18 999 1017.5  -5.5 999.0 999.0 99.0
1999 01 10 23  59  1.3  2.2  1.18 11.11  9.22 999 1016.8  -5.4 999.0 999.0 99.0
1999 01 11 00 109  2.6  4.1  1.00 11.11  9.04 999 1016.3  -4.9 999.0 999.0 99.0
1999 01 11 01 153  1.6  3.1  1.08 11.11  9.20 999 1016.5  -4.6 999.0 999.0 99.0
1999 01 11 02 162  1.6  3.3  1.25 11.11  9.55 999 1016.0  -4.3 999.0 999.0 99.0
1999 01 11 03 284  5.2  6.5  1.42 11.11  9.72 999 1015.8  -5.5 999.0 999.0 99.0
1999 01 11 04 278  5.2  7.5  1.49 10.00  9.61 999 1015.5  -6.1 999.0 999.0 99.0
1999 01 11 05 253  3.7  5.2  1.50 10.00  9.52 999 1015.6  -5.7 999.0 999.0 99.0
1999 01 11 06 257  2.6  4.2  1.50 11.11  9.70 999 1014.8  -4.9 999.0 999.0 99.0
1999 01 11 07 211  5.1  7.6  1.61 10.00  9.43 999 1014.4  -4.0 999.0 999.0 99.0
1999 01 11 08 210  7.2 10.3  1.64 11.11  9.67 999 1013.5  -3.0 999.0 999.0 99.0
1999 01 11 09 215  9.9 13.0  1.67 11.11  6.91 999 1012.5  -2.3 999.0 999.0 99.0
1999 01 11 10 232 11.5 14.3  1.74 11.11  5.94 999 1012.3  -2.5 999.0 999.0 99.0
1999 01 11 11 237 10.6 13.0  1.54 11.11  5.21 999 1012.8  -3.9 999.0 999.0 99.0
1999 01 11 12 241  8.6 10.6  1.50 11.11  5.54 999 1013.4  -5.0 999.0 999.0 99.0
1999 01 11 13 263  9.8 11.9  1.49 10.00  5.44 999 1013.5  -4.9 999.0 999.0 99.0
