#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 01 05 10 50 317  6.5  8.1  0.66 12.90  7.05 122 1000.1  -1.1   5.0 999.0 99.0 99.00
2010 01 05 11 50 319  5.9  7.0  0.74 11.43  7.28  83 1000.6  -1.1   4.9 999.0 99.0 99.00
2010 01 05 12 50 321  5.7  6.7  0.79 10.00  7.67 122 1001.0  -1.0   4.7 999.0 99.0 99.00
2010 01 05 13 50 313  5.5  7.0  0.65 10.00  6.73  94 1001.0  -0.9   4.7 999.0 99.0 99.00
2010 01 05 14 50 310  3.9  5.1  0.71 12.90  7.74 123 1001.2  -0.7   4.6 999.0 99.0 99.00
2010 01 05 15 50 311  3.0  3.7  0.58 10.00  6.61  97 1000.5  -0.3   4.6 999.0 99.0 99.00
2010 01 05 16 50 306  3.6  5.1  0.52 10.00  6.81 106  999.8   0.2   4.7 999.0 99.0 99.00
2010 01 05 17 50 298  4.3  5.7  0.48 10.00  6.61 141  999.1   0.3   4.9 999.0 99.0 99.00
2010 01 05 18 50 304  4.5  5.9  0.49 12.90  6.14  92  998.9   0.8   5.0 999.0 99.0 99.00
2010 01 05 19 50 317  5.9  6.9  0.44 12.12  6.26 106  999.1   0.5   5.1 999.0 99.0 99.00
2010 01 05 20 50 311  4.9  6.4  0.55 12.12  7.25  95  999.2   0.3   5.1 999.0 99.0 99.00
2010 01 05 21 50 319  5.7  7.5  0.46 12.12  7.54 310  999.0   0.3   5.1 999.0 99.0 99.00
2010 01 05 22 50 306  5.0  6.2  0.46 11.43  7.20 116  999.1   0.5   4.8 999.0 99.0 99.00
2010 01 05 23 50 338  9.5 11.4  0.50 12.12  5.90 282  999.3   0.3   4.7 999.0 99.0 99.00
2010 01 06 00 50 340  9.8 12.1  0.61 11.43  4.04 356  999.5  -0.2   4.7 999.0 99.0 99.00
2010 01 06 01 50 341  9.3 11.0  0.69  9.09  3.70 128  999.7  -0.8   4.6 999.0 99.0 99.00
2010 01 06 02 50 341  9.0 10.9  0.63 10.00  3.73  19  999.8  -1.1   4.6 999.0 99.0 99.00
2010 01 06 03 50 340  8.5 10.5  0.60 10.81  3.71  82  999.5  -1.1   4.6 999.0 99.0 99.00
2010 01 06 04 50 331  9.1 10.9  0.58  3.03  3.55  10  999.1  -1.0   4.6 999.0 99.0 99.00
2010 01 06 05 50 326  8.9 10.8  0.59  3.45  3.51   8  998.6  -1.3   4.6 999.0 99.0 99.00
2010 01 06 06 50 324  9.6 11.5  0.50  3.13  3.38   3  998.6  -1.2   4.6 999.0 99.0 99.00
2010 01 06 07 50 299  5.4  6.9  0.50  7.69  3.57 134  999.2  -1.9   4.7 999.0 99.0 99.00
2010 01 06 08 50 288  5.5  6.4  0.42 12.12  3.77 102  998.8  -2.6   4.7 999.0 99.0 99.00
2010 01 06 09 50 296  5.7  7.0  0.36 12.12  3.98 312  998.6  -2.6   4.7 999.0 99.0 99.00
2010 01 06 10 50 301  6.8  7.8  0.40 11.43  4.11 338  998.6  -2.5   4.5 999.0 99.0 99.00
2010 01 06 11 50 295  6.8  8.4  0.42 10.81  4.30 116  998.9  -2.6   4.5 999.0 99.0 99.00
2010 01 06 12 50 299  6.5  7.6  0.38 10.81  3.99  89  999.3  -3.0   4.4 999.0 99.0 99.00
2010 01 06 13 50 295  6.6  8.0  0.43 10.00  4.37 102  999.6  -2.5   4.3 999.0 99.0 99.00
2010 01 06 14 50 286  6.0  7.6  0.41 10.00  4.40  73  999.9  -2.4   4.1 999.0 99.0 99.00
2010 01 06 15 50 290  5.9  7.9  0.42  7.69  4.13 140  999.4  -1.9   4.1 999.0 99.0 99.00
2010 01 06 16 50 289  6.0  7.7  0.43  9.09  4.17 133  998.4  -0.9   4.2 999.0 99.0 99.00
2010 01 06 17 50 278  5.5  6.8  0.40  8.33  3.84 124  997.6   0.1   4.3 999.0 99.0 99.00
2010 01 06 18 50 288  5.2  6.4  0.42  8.33  3.81 122  997.3   1.2   4.5 999.0 99.0 99.00
2010 01 06 19 50 310  4.8  6.8  0.39  7.14  3.97 132  997.4   1.7   4.6 999.0 99.0 99.00
2010 01 06 20 50 304  6.0  7.1  0.39  8.33  3.86 146  997.4   1.4   4.7 999.0 99.0 99.00
2010 01 06 21 50 313  4.6  5.9  0.35 10.81  4.38  79  998.2   0.9   4.6 999.0 99.0 99.00
2010 01 06 22 50 279  7.2  8.5  0.42 12.12  3.72 300  998.4  -0.2   4.6 999.0 99.0 99.00
2010 01 06 23 50 292  6.0  7.0  0.53 11.43  4.02  87  999.1  -0.9   4.4 999.0 99.0 99.00
2010 01 07 00 50 327  8.2 11.6  0.47 12.12  3.84   5  999.4  -1.0   4.4 999.0 99.0 99.00
2010 01 07 01 50 312  4.2  5.3  0.45 11.43  3.66 328  999.9  -1.6   4.3 999.0 99.0 99.00
2010 01 07 02 50 305  5.2  7.0  0.41 10.81  4.00  93 1000.2  -1.6   4.1 999.0 99.0 99.00
2010 01 07 03 50 303  4.4  5.4  0.38 10.81  4.19 117 1000.6  -1.9   4.1 999.0 99.0 99.00
2010 01 07 04 50 292  6.0  7.3  0.39 13.79  5.06 137 1000.3  -2.1   4.0 999.0 99.0 99.00
2010 01 07 05 50 283  5.4  7.3  0.37 14.81  4.43  38 1000.6  -2.7   4.0 999.0 99.0 99.00
2010 01 07 06 50 292  6.6  8.1  0.40 14.81  4.23 263 1000.7  -2.7   4.0 999.0 99.0 99.00
2010 01 07 07 50 294  6.3  7.5  0.35 12.12  4.03 133 1001.2  -3.0   4.1 999.0 99.0 99.00
2010 01 07 08 50 293  6.2  8.0  0.34 12.90  4.13 124 1001.2  -3.0   4.1 999.0 99.0 99.00
2010 01 07 09 50 290  5.0  6.6  0.39 13.79  4.20  95 1001.7  -3.1   4.0 999.0 99.0 99.00
2010 01 07 10 50 290  6.6  7.6  0.39 13.79  4.70 285 1002.0  -3.1   4.0 999.0 99.0 99.00
2010 01 07 11 50 286  5.1  6.1  0.38 14.81  4.47 150 1002.9  -3.4   4.1 999.0 99.0 99.00
2010 01 07 12 50 303  7.5  9.1  0.39 12.90  4.41   3 1003.1  -2.4   4.1 999.0 99.0 99.00
2010 01 07 13 50 300  5.6  8.1  0.39 14.81  5.56 276 1004.1  -2.5   4.1 999.0 99.0 99.00
2010 01 07 14 50 305  6.0  7.8  0.43 14.81  4.07   3 1004.4  -1.2   4.1 999.0 99.0 99.00
2010 01 07 15 50 301  7.5  9.4  0.41 14.81  3.75 289 1004.0  -0.3   4.1 999.0 99.0 99.00
2010 01 07 16 50 300  7.3  9.4  0.38 12.90  3.88  18 1003.3   0.8   4.2 999.0 99.0 99.00
2010 01 07 17 50 330  6.5  8.1  0.33 12.90  3.79 121 1002.9   1.4   4.5 999.0 99.0 99.00
2010 01 07 18 50 339  4.4  5.6  0.34 14.81  4.13 336 1002.9   1.7   4.8 999.0 99.0 99.00
2010 01 07 19 50  11  3.9  5.0  0.37 13.79  4.24 105 1003.4   2.1   4.9 999.0 99.0 99.00
2010 01 07 20 50 358  3.4  4.4  0.39 13.79  3.83  85 1003.8   1.8   4.7 999.0 99.0 99.00
2010 01 07 21 50 346  5.2  6.1  0.41 12.12  3.59 139 1004.3   1.4   4.7 999.0 99.0 99.00
2010 01 07 22 50 328  5.9  7.0  0.47 12.90  3.60 343 1005.0   0.7   4.6 999.0 99.0 99.00
2010 01 07 23 50 325  6.2  7.2  0.47 12.90  3.55  94 1005.8  -0.2   4.6 999.0 99.0 99.00
2010 01 08 00 50 334  6.1  7.3  0.49 12.90  4.23 328 1006.3  -1.1   4.5 999.0 99.0 99.00
2010 01 08 01 50 336  7.4  9.2  0.46 10.81  3.91   4 1006.7  -2.2   4.4 999.0 99.0 99.00
2010 01 08 02 50 328  7.2  8.6  0.47 13.79  3.80  32 1007.0  -2.9   4.5 999.0 99.0 99.00
2010 01 08 03 50 326  6.4  7.8  0.36 10.00  3.68 102 1007.3  -3.3   4.6 999.0 99.0 99.00
2010 01 08 04 50 306  4.8  6.5  0.36 13.79  3.75 120 1007.6  -3.9   4.5 999.0 99.0 99.00
2010 01 08 05 50 320  4.3  5.6  0.35 14.81  4.60 103 1007.0  -4.0   4.3 999.0 99.0 99.00
2010 01 08 06 50 290  3.1  4.2  0.31 13.79  5.56   7 1007.4  -4.3   4.3 999.0 99.0 99.00
